id	tweet	subtask_a
33110	@USER Biz suriyede abd nin kara ordusu ppkpyd ile savaştık siz karşı çıktınız abd chpkk yı devşirdi	OFF
45877	Ben boğayım. Demek oluyor ki burçlarla ilgili böyle istatistiklere güvenmeyin.	NOT
20138	@USER Vatan severligin ölçusünüde belirtseler ona göre davranllsa	NOT
28713	@USER Milliyetçi geçinip, mafyanın ve derin devletin önüne koydular bu şehri ve ülkeyi... Bu şehir girdap	NOT
26882	@USER @USER @USER yöneticileri olan kulüp  daha iyi nasıl yönetilene bilinir ki ?	OFF
14668	@USER MHP bu ülkenin çimentosudur...bunu bilen devlet düşmanı hainler ülkücü gençleri devlete küstürmek için #26nisanfetökumpası ile binlerce polisi perişan etti   Ama küsmedik devlet baki olsun...kumpas düzelir elbet	OFF
26715	@USER @USER @USER @USER @USER @USER Gol atacak forvet yok forvet kim gol atacak ben anlamıyorum.	NOT
15499	@USER Okuma oranın çok düşük olduğu ve gündemi A haberden takip eden kitleye.. Küfür etseydin daha iyiydi.	OFF
30936	Fedakarlık, cesaret ve inanç..       O gün onlar orada olduğu için bugün bizler buradayız!      Başta Ulu Önder Mustafa Kemal Atatürk olmak üzere vatanı için gözünü kırpmadan canını ortaya koyan bütün şehitlerimizin ruhları şad olsun.      #ÇanakkaleGeçilmez	NOT
23667	@USER Nasıl olsa ölünecek ama Allah son nefeste iman selameti nasip eylesin. Ne diyelim.	NOT
15981	@USER Öyle bir mutlulukla izliyorum ki her konuşmanı.   Böyle bilgili,mantıklı bir insanın konuşabilmesi bile artık mutlu olmamıza yetiyor.   Umudumuzu getirdin,ülkemize daha CB olmadan huzuru getirmeye başladın.   Çok seviliyorsun çok🙏🙏♥	NOT
38440	170 boyundayim aq ya nasil kurayim boyle halay	OFF
35624	cool görüncem diye kanser bile olursunuz	NOT
13652	@USER Çok zor, önce helallik almanız lazım...	NOT
31257	Hepimizin psikolojisi bozuk çok azımız bunun farkında	NOT
31435	iyi aksamlar sevgili arkadaslar. k.maras yasim 36 kaliteli ve seviyeli ve unutulmaz anlar yasamak isterseniz ben buradayim evli ciftler tek bayan veya pasif gayler. 853 442 82 63	NOT
42306	#DavutoğluAçıkla Diyorsunuz ama yaşayan ölüler mezardaki ölülerden daha gizemlidirler konuşamazlar arkeoloklarda çaresiz kalıyor yaşayanlara karşı 🤔	NOT
29561	Sizi favlamakdan parmak uçlarım şişti yeminle, hesaplarıma göre şu an bi çoğunuzun kalbini çalmış olmam lazım..	NOT
17007	@USER Gökyüzüne bakmayanların kalbi daha cabuk kirlenir,	NOT
29226	Bu devletin önünde sonunda yıkılması kaçınılmaz. daha doğrusu eyaletler aynen SSCB'deki gibi ayrışır diye tahmin ediyorum. Zatene şu anda sorsanız, federal devletten kopacak eyaletler bile var. +	NOT
41428	Üşüyüp babamın ceketini aldim annem baban üşür diyo evladından çok kocasını düşünen bir kadın  😂 annem gibi kocamı sevmek mi Allahim nasip et 😅	NOT
45226	‘’pek çok şeyin bambaşka olmasını isterdim.’’	NOT
19823	@USER @USER @USER @USER @USER @USER @USER @USER @USER Analizin sonucunu bizimle de paylaşırsınız diyorum. 😁	NOT
30222	Anam yarın göndeririz para diyip telefonlarımı açmadı.Bu dünyada kimseye güvenmeyeceksin aga.	NOT
33515	Sen ne yumoş bişeysin acaba ekranı mıncırasım geldi   #BBMAsTopSocial BTS @USER	NOT
22547	Müslüm BABA kutsaldır Galatasaraylı için	NOT
34419	Oruçluyum zaman geçsin istiyorum ama haftasonu bitiyo onuda istemiyorum rabbimm	NOT
14035	▪️KENDİSİNE ALLAH'TAN RAHMET KEDERLİ AİLESİ VE YAKINLARINA BAŞSAĞLIĞI VE SABIRLAR DİLERİZ.       #AnkaraUfukÜniversitesi	NOT
34460	@USER Mantıklı bir bakış açısı. Deneyeceğim muhakkak. Bazen söz dinlemek ve denemek iyidir ve birşey kaybettirmez bence. 😊😊	NOT
32251	@USER Gunaydın ne saglık kaldı ne huzur versinler artık yavrularımizı   Neden duymazdan görmezden geliyorlar    #AdliMahkumKapsamlıEşitYasa    Bekliyoruz sabırla ama oda biyere kadar tükendik artık   Rabbim içlerine merhamet versin    Düşmez kalkmaz bir Allahtır buguñlerde geçer elbet	NOT
44048	@USER @USER @USER @USER O imza parası diye el altından verdiğin parayı bonservis olarak versen %40'ı Gençlerbirliğine gidecek. Oyuncu kulube siz oyuncuya verip hep bir çakallık peşindesiniz. Gençlerbirliği zararı karşılanmazsa Fifa'da her türlü davayı kazanırlar.	OFF
41518	@USER Söyleyen çarnewa’dan serhat değil mi	NOT
12376	Batı Esad ı gerçekten durdurmak isteseydi,   Bu teknolojiyle çoktan bulunur yok edilirdi. Anlamamak için keriz olmak lazım. Esad Suriye yi parçalamak için kendileri tarafindan bizzat görevlendirilmiş.   Bu cağın işgal metodu,   "Bir ülkenin içinden birilerini bul böl parçala +	OFF
10222	@USER Hahahahahah kısık ses ve ağır bir konuşmayla “ANANI SİKEYİM O DAKİKADA GOL YENİR 😳” hahahaahaahahh	OFF
16786	her otokraside olduğu gibi rus otokrasisinde de klasik yolsuzluk çarkı işlemiş ve bir bataklığa stad kurmuşlar. tabi stalingrad ın her yanı kutsal olunca başka yer bulamamışlardır.	NOT
31534	@USER Hersecimde izmiri alıyorsunuz ama hic bi siyaset değişmedi senin yalanların hariç secimden  sonra gene hükümeti karalamaya devam edeceksin	OFF
43542	Severek ayrilalimmm aşka hasret kalalımmm eğer mutlu olursak yeniden ayrılalımmm	NOT
44474	@USER Zaman varsa oyun bitmemiş demektir	NOT
44528	hayatımda kimse olmamasının hafifliği... bunu o kadar özlemişim ki omuzlarımı öpüyorum ikide bir	NOT
11868	Netlerin arttığını görmek mi daha iç açıcı yoksa senin gülüşünü görmek mi?	NOT
21252	BaşkanAffa Yeşil ışıkyaktı @USER @USER @USER @USER insanlar ceza evinde tuvalet önlerinde yatıyo bu hiç adil değil ceza evleri doldu taştı artık af gerekli	NOT
42411	Bin odalı  sarayım  olsa'da  tatile  çıkamadım diye  ağlasam:))))))))))	NOT
23942	"İnnallahe Hüve'r-Rezzâku Zü'l-Kuvveti'l-Metîn"      “Şüphesiz ki rızıklandıran, güç ve kuvvet sahibi olan Allah'tır.”      (Zâriyât Suresi /58)	NOT
42210	Gün geçmiyorki amk ülkesinde düzgün bir haber alalım    Toplu taşıma araçlarını milyonlarca kadın kullanıyor hergün ve böyle orospu çocuklarını caydırıcı cezalar vermeyip saldığınız sürece ülkede bu tarz olayları hep görecegiz malesef	OFF
40557	@USER @USER Bitirmek için kendimi en çok zorladığım kitaptı :(	NOT
22376	zamanda o ön mirasçısı yapılmaktadır.    #OkmeydanındaDönüşümBaşladı	NOT
14056	@USER Size kalsa neler neler yapacaksınız da,  Allah'tan size kalmıyor ve kalmayacakta. Yüce Türk halkı iyicene tanıdı sizi	OFF
41692	@USER diğer penaltılarıda paylaşıp desene bunu	NOT
11203	keske kedi olsaydim etrafta miyav miyav diye gezerdim eski sevgili konusunda akil vermek zorunda kalmazdim miyav	NOT
31781	İçimizdeki  herkese bu ülke için, Başkan Recep Tayyip Erdoğan’ın aşkından ve azminden diliyorum.   Bu ülke her şeye rağmen şaha kalkacak biliyorum!	NOT
39519	@USER Herkes ışığı kendine göre görüyor,ben orada ışık mışık görmedim	NOT
32087	@USER Hesaplama yöntemi veya mantıgı nedir hocam	NOT
14781	İsrail katlediyor diyorlar israille anlaşma yapıyorlar,verilen önergeyi reddediyorlar. Her sene israille yapılan Ticaret artıyor Her sene Filistin için sözde danışıklı dövüş yapıyorlar.      Fetöyü abd'den alcağız diyorlar incirliği kapatamıyorlar. Abdye yaptırım uygulayamıyorlar.	OFF
18287	Hayatıma dair hep yanlış kararlar veriyorum	NOT
41920	@USER @USER İyi sallamışsınız. Bugün başlayacak hangi memur bu parayı alıyormuş? Bilmeyenleri kandırırsınız ancak. Yaptığınız hesaplama emekli olmak üzere olan eş ve çocuk yardımı alan ocak ayı maaşı.	NOT
34900	Yapılan iyilikleri unutacak kadar nankör olmayı nasıl kendinize yediriyorsunuz?	OFF
17426	Pencereden olgun bir beyefendiye kur yapmak.. Wuuu yeminle ayaklarım titriyor heyecandan 🙈	NOT
25604	@USER Var evet çünkü biz muhteşem insanlarız	NOT
10871	@USER @USER Doğru söylüyorsunuz Recep Bey. Katılıyorum size. Sevgi ve saygılarımla	NOT
13470	@USER Adamları düşürün lige çıkınca da tebrik edin şerefsizler. Bem de burdan sizi bi kez daha tebrik etmek istiyorum 2010-2011 sezonu 2. si olarak 😂	OFF
18167	Sanırım bu kez the end yaa	NOT
41600	@USER Siyasal İslamcılar Ders almazlar. Yahu Çağlar Cilara! Allahuekber diyerek ,Kelime i Şahadet getirenlerin kafasını kesenler den ne bekliyorsun?	OFF
20985	Uyanın arkadaşım. Maç var bugün !!	NOT
33293	@USER Cüneyt Bey Ben eminim Artık ekonomik sorunlar siyasi sorunların ardında saklanıyor. Devekuşu kum misali. Yalnız yazınızı okurken bilirkişi gibi bahsettiğiniz fon yöneticisi yerine sizin şunlar bunlar olacak diyerek daha çok ses getirmenizi istiyorum basit bir vatandaş olarak.	NOT
14673	@USER Sosyal hayat benden uzaklaşmıyor istesem bile:) Anladım seni kuzum. İkna edebildiğim kadar mutluyum ve paylaşıyorum.	NOT
43886	Allahım biri bana sweatshirt hediye etsin amin 🙄🤦🏽‍♀️	NOT
32664	ilim yolunda öleceğim ha şimdi şuracıkta çalışma masamının üstünde	NOT
19271	Bir Gün Gelecek    Biriniz Bile Kalmayana Kadar    Mücadeleye Devam    Kökünüzü Kurutacağız !!    #BebekKatiliPkk	OFF
31488	@USER Almanya'da, Japonya'da böyle bir merak yok. Onlar beyin kalitesine bakıyor. Bizde gençlik lay lay lom	NOT
10739	Kadir gecesi haricinde kandil kutlamak güzel bir gelenekte o düstura göre yaşayan değiliz   Yapmacık oluyor yani😎	NOT
20247	@USER Yalnızlıkbu dünyanın en eski asaletidir,	NOT
25710	@USER @USER @USER Bu saydıklarınızı sosyal devlet yapmakla yükümlü zaten yapmak zorunda ki çoğunuda yapmıyor,benden alıyor sana veriyor,sen zengingen daha zengin ben fakirken daha fakir olay bu,kendiliğinizden yaptığınız bir yardım varmı acaba? #Eyt	NOT
18639	@USER Kendilerini süleymancı olarak atfeden Fatihaları tecvid bahanesiyle yanlış okuyan imamlar denetlensin bunları hangi dış güçler yönetiyor araştırılsın	NOT
19336	artık hayata karşı inancımı kaybetmiş bulunmaktayım k a n d ı r ı l d ı k	NOT
18398	Twitter yüzünden hep yemeğimin dibi tutuyo aksjdhshh	NOT
17892	@USER Evladımız, eşimiz hapse girmrsin diye analar, bacılar, yeni eşler tüm aile seferber olmuş başka bir kadının nafakasını temin etmeye çalışıyor. Ki o ana belki yemeyip yedirip, giymeyip giydirip o evladı o güne getirdi. Bir gün olsun o elin kadınının yediği gibi maaşını yemedi.	NOT
36325	@USER @USER Ne evli cifti lan orospu ve pezevenklerin macun dalgasina bir sürü çakma hesapla tokata çıktığı bir video yavşak sende bunları yayinlayip prim yaptiriyorsun bi siktirip gitmediniz şu twetterden amk götleri	OFF
26089	@USER Görsel hafıza ile ilgili herhalde	NOT
10275	@USER orta sınıf delinen burjuvadır, diyarbakırda Burjuva var mı ? yok, bu orta sınıf falan değil, Kürt hamiyetine sahip bir kitle var ve bu gözardı ediliyor	NOT
19859	Yanlışı doğrusu eksiği fazlasıyla kaldın içimde   Boşverdim aşkımı,yemin ettim değişemem beni anla	NOT
39257	@USER Babuş ayrı .ama  herkes  onun haham olduğunu bilir ve hani derlerya yahudi gibi düzgün ticaret yapmak hahhh işte kimse onlara uyanıklık yapamaz.fiyatına kimse itiraz etmez.	NOT
10289	En kötü gün bugünse   bugün de BEŞİKTAŞ     #Hedef16KenetlenBeşiktaşlı	NOT
38234	@USER Hastaneye emniyette değil bu saatten sonra	NOT
12844	Suratima maya maskesi yaptim ekmek gibi dolasiyorum ya .	NOT
22451	Hayatımın en az altı ayını Japonya'nın bir köyünde geçirmek istiyorum. Bol çiçekli bir köy olması kriterler arasında. Yüksek tepelere tırmanmak, gelenek ve kadim bilgilerini öğrenmek. Bir iki japon arkadaş edinmek💙	NOT
31541	@USER Âleyküm Selam ve rahmetullahi ve berekatuhu hayırlı akşamlar olsun	NOT
19803	@USER Allah belanı versin iş yerinde açtım bütün ofis bana bakıyor	OFF
18194	@USER Hocam boş kaleye atayım ben pası :) Yumurtaya değil tavuğa yatırım yapmak varmış 😀	NOT
11568	"Hiç kimseyi yalan söylediğini anlayacak kadar tanımak istemiyorum."	NOT
25657	@USER @USER 10 parmağın 10 u da bir değildir bunuda unutma	NOT
15308	AYRICA ANPANMAN BENİ ÖLDÜRDÜ GO GO AĞLIYOR ŞUAN MÜKEMMELDİ	NOT
10298	@USER guzel seyler olsun istiyorsan ben seni sikiyim	OFF
30516	@USER Çok da değil yani hepsi aynı tırt 😅😅	OFF
36448	Temmuz gelsin bari mq dünyası	NOT
31148	@USER Sizinki fesli kadir mı belgelerle gerçek tarihlerden mi benimle tartisamazsin seni gömerim bugüne kadar hiçbir akp li benimle tarihi tartisamadi bence sen bunu zaten yapamazsin	OFF
37385	#TheHandsmaidsTale , sen kadar sürükleyici ve bir o kadar da sinir sistemimi alt üst eden bir dizi yok.! Seni seviyor muyum? Nefret mi ediyorum bilmiyorum!	NOT
27388	Ciddi ciddi yeni şarkı salıyorlar ağliycam #BIGPLANS	NOT
43005	@USER 1 yıl boyunca maaş almasınlar. Madem devlette para yok. Zenginler nasıl olsa. Ben hiç Fakir fukara bir bakan milletvekili ile karşılaşmadım.	NOT
18018	Ronaldo Juventus'a gitmiş.Dünya futbol tarihi bu kadar ahmakça bir tercihe aynı zamanda bu kadar da büyük bir meydan okumaya şahit olmamıştır.	NOT
35425	@USER @USER Her şeride bir hayır vardır dediklerinin tezahurümü gerçekleşecek acaba?	NOT
13626	Günaydın bugün yine iyiki Galatasaraylıyım diyerek uyandım, mutluyum 😊	NOT
37992	İyi ile kötünün mücadelesi hiç bir zaman bitmeyecektir.   Eğer birgün bittiğini görürseniz bilin ki kıyamet kopmuştur.   Bu bilinçle hareket etmeli, zafer odaklı değil, sefer odaklı planlar yapılmalı.   Biz Allah'tan neticenin değil, emeğimizin karşılığını alacağız.	NOT
29593	efendi ve iyi bir insan olmak hiçbir zaman prim etmedi iyiler hep kaybeder	NOT
11041	Hiç hak  etmediğimiz şeyleri yaşattılar, affedene yazıklar olsun.	NOT
40968	- 🇺🇦da önümüzdeki dönemde büyük alt, üstyapı projeleri olacağını duyurdu başkan @USER      - 🇹🇷 firmaları 🇺🇦da kara yolu, metro, ynlnblr enerji, tarım gibi çok sektörde başarılı projelere imza attı. Önümüzdeki dönemin 🇹🇷🇺🇦 ilişkilerinde dönüm noktası olabileceğine inanıyorum	NOT
38055	@USER Nasıl bu kadar kaba olabiliyorlar? Uzaydan gelen savaşçı sayborg gibiler	OFF
20485	Burada yenersek istanbulda kan kustururuz.	NOT
33706	bahsettiğiniz iki insanda hetero değil amk hajslddldldödldödmdkdms bana bi gülme geldi	OFF
26417	@USER Her türlü imtihana hazırım da Rabbim bizi evlatlarımızla sınamasın abim, çok ağır	NOT
40837	Telefonumda şifre var ama şifreyi herkes biliyor çok saçma	NOT
22531	Hayat bu   Yakın sandığınla arana yüzyıllarca mesafe koyar.    Uzak gördüğünle aranda bir nefeslik An var.   Hiç bir şehir uzak değil,    Anlamayan birine ulaşmak kadar   Ve hiç bir yer yakın değil   Anlık bir ölüm kadar...	NOT
30916	Bir insan uyurken nasıl tırnağını kırabilir açıklayın bana ya	NOT
41771	@USER Birde akp de bedava para alanları konussaniz.    Bankamatikcileri.  Yolsuzlukları.   Helal dürüst. Adamsınız diyeceğim.  Ama. O karekteri sizde göremiyorum. Onun için kalpazan siniz	OFF
13042	Not : Kimseye kendinize verdiğiniz değerden daha fazla değer vermeyin.	NOT
31611	biz bólme taraftari deģiliz biz akpeyi tara mar etmeye and içtik yemin etik  túrklerle bin yilik beraberliģimiz var   bu birlik beraberliģimiz senin saltanitina kurban etmiyeceģiz kùrt tùrk birlikte  seni anavatan partisi gibi tarih çòplùģùne gùmeceģiz bir nisan súprizi  yapacģiz	OFF
16309	Taşın üstünde uyuyacaksın deseler , niye diye sorgulamadan direk kıvrılır yatarımm 😪	NOT
22582	@USER Ben katılmıyorum,Ali Koç daha düzgün,daha zengin,daha genç,daha yakışıklı olabilir ama Aziz Yıldırım kriz ortamını ve daha kötü durumlar da daha zeki,ve daha tecrübeli bence....Müdür	NOT
16010	Sen artık hepmzn baş tacısın🙏🏻	NOT
37607	@USER Hayirli sabahlar olsn inşALLAH cumlemize	NOT
24079	İnsan derdine kadar koyarmuş rakıyı yoksq anınınız bir duble rakının ağzındaaa küçük küçük gözyaşları bırakın masanın bir kenarına	NOT
20727	Sen İzmir’deli kar, Ankara’daki denizsin bana. Yoksun! Ama olsan, çok güzel olursun.	NOT
37930	@USER güzel ama ömrü kısa, nadir? şans getiren ve çok çift değil...	NOT
26581	Dünyada ne çok acı var. Hepsini hissediyorum bazen. Gülmeye utandığım zamanlar var.	NOT
41022	Canım çok üzülüyorm sana beni zorla kaybettiğin için😢	NOT
28301	Neyse biraz da yüzü koyun uyumaya çalışayım belki nefessiz kalıp geberirim amk.	OFF
39484	#Besiktas Bayern maçında o ilk gol ofsayt değil miydi?🤔 o gol olmasa, kırmızı görmeseydik ne olurdu ? ⚫⚪	NOT
34401	@USER @USER Sen kimin yanında olduğunu hangi dayanaklara göre biliyorsun?	NOT
14703	@USER kendi faziletinden çalıyor da farkında değil :( üstelik merkantalistlere göre oruç yasaklanmalıdır.	OFF
34613	@USER kapıyıtut, kapıtut, kaptut, kaput, kaput, kaput, haydar.       Haydar ismi buradan gelir.	OFF
35826	ben kadın değil miyim lan? Yok bende yokkk	NOT
23793	@USER @USER @USER @USER Halkımız bilmeli ki Sinop' ta kesilen ağaçlar yalnız Sinop'un değil tüm ülkenin Karadenizimiz yeşilliği,havası suyu güzelliğimiz, ciğerimiz vatanımız, bugün cebine  aldığın 3-5 kuruşa bunları değişirsen yarın torunların orada nefes alamayacak	NOT
24845	Rahat bırakın be artık şu adamı	NOT
37968	Dünyadaki tüm kötüler birleşse,zarar veremez sana    İyi bildiğin insanlar kadar....   #iyigeceler	NOT
25603	Ulan var ya hiçbir şey hissetmediğimi hissediyorum bu aralar	NOT
33171	Sevgisiz olun ama saygısız olmayın #Kılıçdaroğlu'na#şehit#cenazesinde#saldırı#kınıyoruz	NOT
21031	İyi geceler. Üzüntünün arkasından gelen sayın sevinç kendi kendine ağlamayı nasıl da bilir.	NOT
17572	@USER #SözünüTutFakıbaba  Oyalama siyaseti yapmaktan bıkmadınız mı. Aylardır öldük bittik. Yapmayacağınız sözler neden verirsiniz. Bugüne kadar Atama olacak deyip yapmayan kimse olmadı sizden başka.Atama olması zerre umrunuzda değil.Nasıl olsa sizin koltuk şimdilik sağlam. Adalet mi bu	NOT
39217	@USER @USER Oaman benim adım kaynana ben bozarım ndjdjfjfj	NOT
14082	@USER Güzel bi laf gibi ama anlamadım	NOT
45546	@USER Tu pir hûr û kûr diaxivî ez ji te fêm nakim. A baş em xatir ji hev bixwazin :)	NOT
13448	@USER Hocam kusura bakma güldüm ama çok komik bir zincirleme olmuş 😂😂   Neyse, geçmiş olsun diyelim	NOT
23837	@USER Sen bunu farkında bile olmadan sürekli yapıyorsun canımın içi 😘	NOT
31899	Her tweet'e yorum yapıyorum çünkü sıkılıyorum mesaj atın diye dedim kızlar bende görüldü yeme fobisi var 🙄	NOT
37578	Biliyorsunuz ki geçen sefer çok küçük bir fark ile kaybetmiştik ve bu sefer de alamazsak bu comeback için pek bir şansımız kalmayacak daha. Lütfen birkaç dakikanızı ayırıp oy verin😿	NOT
15500	@USER Tamam be; sezon bitti zaten. Artık edebiyat kasabilirim	NOT
30424	@USER Valbuena valbuena dedik adamın girdiğiyle çıktığı bir oldu Bravo Cenabet Fener tayfa	OFF
16219	Her maç aynı terane, hepsi de rakipler lehine.. Bu ilk çeyrek sonundaki basket&faulü NBA'de bile çalmazlar. Tekrar söylüyorum, hakemlerin işi güç dengesizliğini ortadan kaldırmaya çalışmak değil. En acemisinden en kıdemlisine hepsi aynı.	NOT
38177	@USER Abi destek lütfen ya askıya alınıyo hesabım	NOT
36290	@USER @USER Özümüze döndükçe kazanıp yukseliyoruz bu millet her daim inancından güç alarak yükselmiştir onun için önce inançlarımıza saldırdılar	NOT
13957	@USER Çok sevindim Komutanım. ALLAHIN izniyle milletin meclisine millet aklı ile gideceksiniz...	NOT
36300	@USER Çok güzel eleman ya. Sevdiği projede çok az paracığa oynuyormuş.	NOT
20372	@USER Offff... çok sonsuzzzz bir şükür oldu buu.😂😂😂	NOT
16763	@USER Lise ve üniversite gençliği olan bitenin farkında değil. Etrafımdaki gençlerin hemen hepsi yanlış düşünüyor. Konforun ortasında doğup büyüdüler. Kulağa hoş gelen 'devrim özgürlük değişim...' gibi kelimelerin ardına düşmüşler. Erdoğan'ın gerçek devrimci olduğunu bilmeden!	NOT
42618	@USER Kullanmadığın netin ücretini sizden tahsil edemez sağlayıcı firmanıza forum doldurup fax çekin uyarın 14 iş günü içinde çözüm sağlayıp dönüş yapmıyorlarsa btk ya  şikayet edin sonuç alamassan tuketici mahkemesine dava açın vazgeçmeyin hakkınızı sonuna kadar arayın	NOT
39512	@USER Bışey deyi görevimiz birbirımıze kenetlenmek derlerya birlikte güç doğar heval	NOT
44793	@USER Birgül hoca geldi gözümün önüne 😅	NOT
15845	formayı ben yaptım falan diyo aKLŞJSGAKLŞJALŞSKGASJKLGAS	NOT
17391	@USER Akpnin gidebilmesi icin iyi parti chp gibi muhalefeti olmayi bilmeyen bir partiyi yanina almasiyla iktidar olma sansini kaybetti !   Onumuzdeki 5 yilda cizecegi muhalif tavirla kendisini dogru bir sekilde tanitirsa 7 ayda%10 almis iyi parti 2023 de iktidarin en buyuk adayi olur	NOT
31596	@USER @USER Hmm herhangi bir moomoo Blackpink in dış görünüşlerine, danslarına, seslerine laf etmedi	NOT
13164	Erkenden evlenen koca meraklıları hariç herkese günaydın	NOT
29707	@USER Irkçılık yaptım abi. teröriste terörist diyip bir de çirkin bunlar diyince şey oldu :)	NOT
34430	Bu inancın bu hakkın altında başka sebepler bulanık amk sizi seviyoruz herseyimm	OFF
25560	@USER Sizin Yiğithan'ın Trabzondaki maçta Uğurcan'a yaptığı hareketi hatırlıyor musun? Onun yaptığına laf ettiysen tebrik ederim seni	NOT
22134	@USER @USER @USER yok hiç sanmam seni konuşurken gördülerse demek.... az sussan sorun hallolur bence:)	NOT
43390	Bu saatlerde canım çok pis balkon havası çekiyor böyle oturup müzik dinlemektik ama yemek vaktidir çoluk çocuk bekler	NOT
30084	gercekten sinirleniyorum lan, ben neyinim senin dilediginde arayip kendini rahatlatabilecegin kisisel psikologun mu amk cildiricam oyle olsam bile arkadasimi dinle ne demek B A N A N E ARKADASINDAN	OFF
42193	@USER Yüksel bey size daha önce bir soru sormuştum bu konuları iyi bildiğiniz için müsaitseniz tekrar sorabilir miyim?	NOT
17120	Zengin ile yoksul arasındaki uçurum gittikçe büyüyor. Herkes düşünceye düşman. İnsan seçmiyor artık. Her teklifi kabule razı; yeter ki bu teklif ona insanlığını unutturabilsin.	NOT
44315	@USER Nuh diyor peygamber demiyor   Halbuki bilmiyor kerizler   Nuhta bir peygamber değil mi?   😂 🙈 🥳💤 💤 💤	OFF
32611	Halay başı olmanın verdiği mutluluğu vermeyen şeyler var hayatta	NOT
44379	@USER Kardeşim ben ne yapayım 5 s kullanan biri olarak...	NOT
32189	Bence de hırsıza yolsuza Rum’a Bizans’a gavura kafire haine fetöye piçe orospu çocuklarına vermek varken, hakka halka hizmet de neki?   Seni gidi kripto Rum seni...@ekrem_imamoglu    Bu adamın Rum olduğunu herkesin bilmesi lazım, kime oy verdi bizim gerizekalı beyinsizler, bilsinler!	OFF
